round,accuracy,elapsed_time
1,0.6838235294117647,166.45981431007385
2,0.6838235294117647,228.05000114440918
3,0.6838235294117647,290.5607511997223
4,0.6838235294117647,354.12534832954407
5,0.696078431372549,415.7137920856476
6,0.7009803921568627,480.34098863601685
7,0.7034313725490197,542.9163954257965
8,0.7009803921568627,607.9280972480774
9,0.7107843137254902,674.2685341835022
10,0.7279411764705882,739.2496371269226
11,0.7156862745098039,990.3026704788208
12,0.7132352941176471,1119.54376745224
13,0.7230392156862745,1184.8662192821503
14,0.7401960784313726,1251.091952085495
15,0.7279411764705882,1314.670111656189
16,0.7254901960784313,1380.6171073913574
17,0.75,1445.4302020072937
18,0.7622549019607843,1509.5135612487793
19,0.75,1570.5937197208405
20,0.7524509803921569,1632.2849278450012
21,0.7769607843137255,1697.3921172618866
22,0.7696078431372549,1759.601928949356
23,0.7916666666666666,1824.3975574970245
24,0.7745098039215687,1888.2987051010132
25,0.7867647058823529,1950.1226184368134
26,0.8112745098039216,2014.8112094402313
27,0.7892156862745098,2078.454752445221
28,0.8137254901960784,2143.873451948166
29,0.8235294117647058,2206.006899833679
30,0.8161764705882353,2267.6906118392944
31,0.8112745098039216,2332.3951172828674
32,0.8063725490196079,2397.6065335273743
33,0.8161764705882353,2462.54945230484
34,0.8235294117647058,2526.9519288539886
35,0.8259803921568627,2588.7620182037354
36,0.821078431372549,2653.889848470688
37,0.8308823529411765,2719.112277984619
38,0.821078431372549,2782.0921857357025
39,0.821078431372549,2847.426721096039
40,0.8284313725490197,2908.1935391426086
41,0.8284313725490197,2972.066667318344
42,0.8259803921568627,3034.346906900406
43,0.8308823529411765,3098.533093690872
44,0.8259803921568627,3164.0748596191406
45,0.8333333333333334,3228.8347170352936
46,0.8357843137254902,3293.983409643173
47,0.8333333333333334,3355.295623779297
48,0.8259803921568627,3418.53443980217
49,0.8259803921568627,3482.914948940277
50,0.8235294117647058,3547.693828344345
51,0.8308823529411765,3611.9681515693665
52,0.8308823529411765,3678.263199567795
53,0.821078431372549,3744.2589452266693
54,0.8235294117647058,3829.1640899181366
55,0.8235294117647058,3894.5421328544617
56,0.8333333333333334,3958.9108798503876
57,0.8308823529411765,4024.6716763973236
58,0.8357843137254902,4086.8196878433228
59,0.8333333333333334,4148.5966601371765
60,0.8333333333333334,4214.744663476944
61,0.8333333333333334,4276.090389490128
62,0.8382352941176471,4340.013669490814
63,0.8308823529411765,4401.611488580704
64,0.8333333333333334,4462.628560304642
65,0.8333333333333334,4526.736447095871
66,0.8382352941176471,4591.323830842972
67,0.8259803921568627,4798.976684093475
68,0.8357843137254902,4860.324729681015
69,0.8308823529411765,4926.110896587372
70,0.8357843137254902,4989.927616596222
71,0.8284313725490197,5053.919463157654
72,0.8357843137254902,5116.222669363022
73,0.8259803921568627,5179.905896902084
74,0.8235294117647058,5266.031121015549
75,0.8406862745098039,5331.510342121124
76,0.8382352941176471,5397.354849100113
77,0.8406862745098039,5479.9473259449005
78,0.8308823529411765,5543.8263120651245
79,0.8357843137254902,5610.2803320884705
80,0.8406862745098039,5677.988344907761
81,0.8308823529411765,5767.521068096161
82,0.8308823529411765,5832.7877724170685
83,0.8284313725490197,5919.244920253754
84,0.8333333333333334,5984.982675075531
85,0.8284313725490197,6073.414127111435
86,0.8382352941176471,6139.0171139240265
87,0.8284313725490197,6205.169700860977
88,0.8382352941176471,6268.370933055878
89,0.8308823529411765,6334.499236822128
90,0.8357843137254902,6400.115308761597
91,0.8333333333333334,6463.258436918259
92,0.8357843137254902,6529.272272109985
93,0.8333333333333334,6594.926585435867
94,0.8382352941176471,6660.932320594788
95,0.8406862745098039,6724.920103311539
96,0.8333333333333334,6812.017955064774
97,0.8357843137254902,6874.536014080048
98,0.8357843137254902,6960.223788738251
99,0.8333333333333334,7228.8293633461
100,0.8382352941176471,7500.352288484573
