round,accuracy,elapsed_time
1,0.6838235294117647,149.78089928627014
2,0.6838235294117647,199.04452633857727
3,0.6078431372549019,245.83410334587097
4,0.6200980392156863,294.8280031681061
5,0.6813725490196079,342.5380427837372
6,0.3161764705882353,391.35411286354065
7,0.3161764705882353,440.4295823574066
8,0.3161764705882353,490.2520978450775
9,0.3161764705882353,538.1152782440186
10,0.3161764705882353,584.6337738037109
11,0.3161764705882353,635.603006362915
12,0.33578431372549017,683.4464154243469
13,0.3161764705882353,731.108464717865
14,0.3161764705882353,782.6786057949066
15,0.3382352941176471,832.8092880249023
16,0.3161764705882353,882.1876974105835
17,0.6838235294117647,945.4476232528687
18,0.7083333333333334,1003.0097243785858
19,0.696078431372549,1065.84424161911
20,0.6838235294117647,1114.0016994476318
21,0.6838235294117647,1161.6962206363678
22,0.6838235294117647,1223.2895958423615
